Season,Name,Team,playerid
1994,Eric Plunk,Indians,1010400
1986,Don Carman,Phillies,1001967
1994,Bill Swift,Giants,1012788
1899,Frank Killen,- - -,1006904
1993,Angel Miranda,Brewers,1008990
2004,Russ Ortiz,Braves,1124
1940,Joe Heving,Red Sox,1005758
1998,LaTroy Hawkins,Twins,729
1919,Howard Ehmke,Tigers,1003707
1918,Rasty Wright,Browns,1014291
1904,Bill Duggleby,Phillies,1003542
2013,Brandon McCarthy,Diamondbacks,4662
1994,Bob Wickman,Yankees,413
2007,Billy Wagner,Mets,578
1975,Doug Bird,Royals,1000976
1963,Dave Morehead,Red Sox,1009156
1997,Kevin Tapani,Cubs,1012824
1989,Paul Assenmacher,- - -,1000344
1999,Steve Karsay,Indians,829
1918,Harry Harper,Senators,1005379
1981,Matt Keough,Athletics,1006858
1895,Willie McGill,Phillies,1008522
1948,Red Barrett,Braves,1000600
2001,Jose Mesa,Phillies,961
1986,Moose Haas,Athletics,1005172
1978,Tom Dixon,Astros,1003335
1966,Dennis Ribant,Mets,1010890
1987,Jesse Orosco,Mets,667
1949,Vern Bickford,Braves,1000947
1980,Shane Rawley,Mariners,1010719
1963,Mudcat Grant,Indians,1004952
1975,Jim Todd,Athletics,1013097
1925,Joe Shaute,Indians,1011813
2013,Zach McAllister,Indians,2895
2003,B.J. Ryan,Orioles,168
1916,Pol Perritt,Giants,1010206
1884,Fred Goldsmith,- - -,1004808
1969,Joe Niekro,- - -,1009582
2013,Bobby Parnell,Mets,9926
1988,Jeff Reardon,Twins,1010741
2019,Zach Davies,Brewers,13183
1921,Joe Oeschger,Braves,1009738
1957,Curt Barclay,Giants,1000534
1996,Jamie Moyer,- - -,1091
2003,Matt Herges,- - -,780
1981,Dan Spillner,Indians,1012342
2019,Zac Gallen,- - -,19291
1955,Warren Hacker,Cubs,1005182
1909,Tom Hughes,Senators,1006163
1944,Joe Haynes,White Sox,1005534
1958,Seth Morehead,Phillies,1009158
1973,Lindy McDaniel,Yankees,1008441
2019,Kevin Gausman,- - -,14107
1943,Bobo Newsom,- - -,1009546
2000,Paul Wilson,Devil Rays,1234
1931,Earl Whitehill,Tigers,1013866
1948,Fritz Ostermueller,Pirates,1009883
2011,Kenley Jansen,Dodgers,3096
1937,Ivy Andrews,- - -,1000253
1962,Joe Bonikowski,Twins,1001167
1993,Randy Myers,Cubs,1009427
2002,Brian Anderson,Diamondbacks,44
1903,Mordecai Brown,Cardinals,1001547
2013,Shaun Marcum,Mets,6204
1986,Chris Welsh,Reds,1013772
1943,Russ Christopher,Athletics,1002222
1927,Ted Blankenship,White Sox,1001054
2012,Jake Arrieta,Orioles,4153
1902,Chick Fraser,Phillies,1004305
1938,Bump Hadley,Yankees,1005186
1913,George Kahler,Naps,1006665
2005,Tomo Ohka,- - -,788
1916,Ray Fisher,Yankees,1004095
2014,Josh Collmenter,Diamondbacks,7312
1986,Ed Lynch,- - -,1007862
1989,Scott Sanderson,Cubs,1011422
2013,Ryan Cook,Athletics,8855
1954,Don Johnson,White Sox,1006448
1961,Bobby Shantz,Pirates,1011804
1914,Frank Allen,- - -,1000140
1925,Larry Benton,Braves,1000855
1971,Chris Zachary,Cardinals,1014404
2005,Odalis Perez,Dodgers,668
1994,Kent Mercker,Braves,439
2008,Takashi Saito,Dodgers,6021
2014,Mike Fiers,Brewers,7754
1910,Ed Karger,Red Sox,1006699
1920,Jimmy Ring,Reds,1010972
1977,Willie Hernandez,Cubs,1005714
1960,Juan Marichal,Giants,1008106
1996,Steve Trachsel,Cubs,898
1904,Norwood Gibson,Americans,1004670
1914,Joe Boehling,Senators,1001115
1979,Jim Barr,Angels,1000606
1997,Butch Henry,Red Sox,1005667
1913,Cliff Curtis,Superbas,1002899
1955,Steve Gromek,Tigers,1005080
1923,Vic Keen,Cubs,1006756
1906,Bob Rhoads,Naps,1010881
2014,Jesse Chavez,Athletics,5448
1994,Doug Jones,Phillies,1006552
2019,Brad Hand,Indians,9111
2007,Mark Hendrickson,Dodgers,1574
2007,Barry Zito,Giants,944
2002,Elmer Dessens,Reds,317
2006,Juan Cruz,Diamondbacks,273
1972,Clay Kirby,Padres,1006960
2008,Oliver Perez,Mets,1514
1962,Bob Bruce,Colt .45's,1001573
1974,Sonny Siebert,Cardinals,1011951
1989,Mike LaCoss,Giants,1007240
1957,Tex Clevenger,Senators,1002348
1970,Mike Torrez,Cardinals,1013134
1904,Roy Patterson,White Sox,1010071
1979,Dick Ruthven,Phillies,1011330
1992,Mark Eichhorn,- - -,1003712
1946,Orval Grove,White Sox,1005100
1987,Floyd Youmans,Expos,1014361
1930,Pete Donohue,- - -,1003390
1980,Tippy Martinez,Orioles,1008200
1916,Tom Hughes,Braves,1006164
1962,Jim Bouton,Yankees,1001241
2000,Andy Benes,Cardinals,1144
2003,Jarrod Washburn,Angels,40
2018,Junior Guerra,Brewers,5702
1994,Mark Langston,Angels,1007323
1942,Oscar Judd,Red Sox,1006640
1961,Cal McLish,White Sox,1008626
1936,Rube Walberg,Red Sox,1013501
2012,Sean Marshall,Reds,5905
2002,LaTroy Hawkins,Twins,729
2018,Wade LeBlanc,Mariners,5221
1987,Steve Trout,- - -,1013197
2015,Hector Rondon,Cubs,2391
1989,Dennis Lamp,Red Sox,1007284
1912,Bill Steen,Naps,1012454
1990,Jeff Montgomery,Royals,1009071
1970,Rollie Fingers,Athletics,1004051
2019,Pablo Lopez,Marlins,17085
1915,Bunny Hearn,Rebels,1005551
1979,Eric Rasmussen,Padres,1010704
2020,Justus Sheffield,Mariners,17285
2005,Ervin Santana,Angels,3200
1910,Fred Beebe,Reds,1000767
1978,Terry Forster,Dodgers,1004236
1883,Fred Corey,Athletics,1002625
1991,Les Lancaster,Cubs,1007287
1913,Joe Lake,Tigers,1007262
1989,Danny Darwin,Astros,1002996
1890,Cy Young,Spiders,1014369
1928,Slim Harriss,Red Sox,1005431
1981,Ron Davis,Yankees,1003075
2004,Noah Lowry,Giants,1833
1904,Kaiser Wilhelm,Beaneaters,1013947
2004,Miguel Batista,Blue Jays,46
1973,Balor Moore,Expos,1009090
1972,Ron Bryant,Giants,1001608
1977,Joe Niekro,Astros,1009582
1975,Reggie Cleveland,Red Sox,1002347
1924,Bill Sherdel,Cardinals,1011869
1981,Tommy John,Yankees,1006515
2004,Armando Benitez,Marlins,865
1887,Hugh Daily,Blues,1002934
1999,Jeff Zimmerman,Rangers,1014446
1983,Steve Renko,Royals,1010835
1931,Jim Mooney,Giants,1009083
1914,Gene Krapp,Buffeds,1007141
1953,Jim Hearn,Giants,1005556
1962,Cal Koonce,Cubs,1007101
1896,Mike Sullivan,Giants,1012708
1977,John Urrea,Cardinals,1013301
1983,Joaquin Andujar,Cardinals,1000266
1887,Dupee Shaw,Nationals,1011821
1920,Jim Shaw,Senators,1011824
2013,Dan Haren,Nationals,1757
1986,Mark Davis,Giants,1003067
1962,Bob Buhl,- - -,1001637
1916,Bob Groom,Browns,1005081
1927,Dolly Gray,Athletics,1004969
1972,Bill Gogolewski,Rangers,1004802
1988,Mike LaCoss,Giants,1007240
2016,Dan Otero,Indians,7385
1897,Walter Thornton,Colts,1013041
1920,Lefty Tyler,Cubs,1013252
1973,Fred Norman,- - -,1009632
1979,Steve McCatty,Athletics,1008383
1966,Bob Locker,White Sox,1007688
1996,Fernando Valenzuela,Padres,1013327
2013,Addison Reed,White Sox,10586
1975,Dale Murray,Expos,1009383
1921,Clarence Mitchell,Robins,1008998
1994,Mark Eichhorn,Orioles,1003712
1985,Mark Thurmond,Padres,1013052
2012,Ryan Cook,Athletics,8855
1919,George Mogridge,Yankees,1009029
1987,Rick Aguilera,Mets,1000086
2016,Adam Conley,Marlins,14457
1907,Jake Thielman,Naps,1012955
1997,Steve Cooke,Pirates,1002570
1897,Bill Hart,Browns,1005438
1910,Slim Sallee,Cardinals,1011385
1927,Eddie Rommel,Athletics,1011174
2014,Tyler Skaggs,Angels,10190
1981,Mike Witt,Angels,1014174
2004,Octavio Dotel,- - -,555
1898,Pete Dowling,Colonels,1003447
2017,Juan Nicasio,- - -,7731
1967,John Hiller,Tigers,1005817
1991,Bill Swift,Mariners,1012788
1961,Chuck Estrada,Orioles,1003841
1977,Bob Knepper,Giants,1007031
1977,Rick Wise,Red Sox,1014155
1966,Phil Regan,Dodgers,1010785
1889,Pud Galvin,Alleghenys,1004469
1989,Mark Portugal,Astros,1010460
1935,Guy Bush,Pirates,1001752
2006,Bob Wickman,- - -,413
2011,Livan Hernandez,Nationals,1116
1954,Herm Wehmeier,- - -,1013729
1964,Lindy McDaniel,Cubs,1008441
1964,Lee Stange,- - -,1012400
1909,Ed Killian,Tigers,1006908
2002,Glendon Rusch,Brewers,707
2012,Ross Detwiler,Nationals,2859
1953,Clem Labine,Dodgers,1007230
1910,Ray Fisher,Highlanders,1004095
1964,Joe Sparma,Tigers,1012307
1999,Rick White,Devil Rays,456
1915,Pol Perritt,Giants,1010206
2005,Victor Zambrano,Mets,1237
1961,Barry Latman,Indians,1007377
1983,Mark Thurmond,Padres,1013052
1910,Irv Young,White Sox,1014380
2019,Ryan Pressly,Astros,7005
2012,Octavio Dotel,Tigers,555
1964,Ed Rakow,Tigers,1010661
1994,Kevin Foster,Cubs,1004251
1912,Bill Steele,Cardinals,1012449
1954,Jake Thies,Pirates,1012957
1929,Ray Moss,Robins,1009254
2011,John Axford,Brewers,9059
1981,Rick Honeycutt,Rangers,1005992
1910,Lefty Leifield,Pirates,1007494
1935,Vern Kennedy,White Sox,1006851
2017,Blake Parker,Angels,5224
1998,Sean Bergman,Astros,1000881
2018,Seth Lugo,Mets,12447
1941,Charlie Wagner,Red Sox,1013480
1970,George Brunet,- - -,1001590
2020,Kevin Gausman,Giants,14107
2016,Brad Hand,Padres,9111
1979,Kevin Kobel,Mets,1007067
2000,Julian Tavarez,Rockies,541
1935,Tom Zachary,Dodgers,1014405
2008,J.P. Howell,Rays,8245
1994,Pedro Astacio,Dodgers,862
1979,Elias Sosa,Expos,1012284
2020,Lance Lynn,Rangers,2520
1999,Joe Mays,Twins,740
1982,Dave Goltz,- - -,1004818
2005,Kyle Farnsworth,- - -,278
1995,Jose Rijo,Reds,349
1967,Larry Jaster,Cardinals,1006367
1992,Hipolito Pichardo,Royals,1472
1997,Bobby Witt,Rangers,1014170
2018,Mike Montgomery,Cubs,4869
1986,Bill Swift,Mariners,1012788
1981,Pete Redfern,Twins,1010751
1935,George Earnshaw,- - -,1003633
2002,Mike Remlinger,Braves,111
1993,Eric Plunk,Indians,1010400
1978,Francisco Barrios,White Sox,1000603
1995,Norm Charlton,- - -,1002160
1916,Frank Allen,Braves,1000140
1941,Jim Turner,Reds,1013229
1956,Mel Parnell,Red Sox,1010017
1903,Highball Wilson,Senators,1014085
1937,Ed Brandt,Pirates,1001348
1974,Mike Caldwell,Giants,1001830
1998,Masato Yoshii,Mets,807
1963,Jim Perry,- - -,1010213
2004,Jason Jennings,Rockies,434
1902,Nixey Callahan,White Sox,1001847
1964,Jack Fisher,Mets,1004090
1973,Sparky Lyle,Yankees,1007859
1947,Fred Sanford,Browns,1011430
1974,Reggie Cleveland,Red Sox,1002347
2002,Joey Hamilton,Reds,328
1922,Lou North,Cardinals,1009642
1996,Dennis Martinez,Indians,1008161
2016,Chris Rusin,Rockies,9895
2004,Steve Trachsel,Mets,898
1990,Steve Avery,Braves,1706
1945,Mike Ryba,Red Sox,1011351
1933,Ed Holley,Phillies,1005953
1966,Joe Gibbon,Giants,1004658
2012,Jason Vargas,Mariners,8044
1917,Red Ames,Cardinals,1000210
1932,Oral Hildebrand,Indians,1005804
1976,Dick Tidrow,Yankees,1013056
1998,Glendon Rusch,Royals,707
2012,Johan Santana,Mets,755
2014,Tyler Clippard,Nationals,5640
1910,Fred Olmstead,White Sox,1009786
2002,Masato Yoshii,Expos,807
2017,Dominic Leone,Blue Jays,13763
1895,Ed Stein,Grooms,1012464
1992,Carl Willis,Twins,1013979
2007,Cha Seung Baek,Mariners,8214
1931,Wilcy Moore,Red Sox,1009132
2013,Sonny Gray,Athletics,12768
1924,Sam Jones,Yankees,1006589
2016,Mike Fiers,Astros,7754
1986,Dave Stewart,- - -,1012519
1906,Jack Taylor,- - -,1012879
1971,Barry Lersch,Phillies,1007555
2011,Guillermo Moscoso,Athletics,5106
1979,Chuck Rainey,Red Sox,1010654
1897,Buttons Briggs,Colts,1001424
2005,Francisco Rodriguez,Angels,1642
1986,Gary Lucas,Angels,1007805
2008,Chien-Ming Wang,Yankees,2074
2002,Jeff D'Amico,Mets,871
1955,Johnny Kucks,Yankees,1007196
1923,Ray Kolp,Browns,1007088
1943,Al Brazle,Cardinals,1001371
1999,Kyle Peterson,Brewers,1010235
2017,R.A. Dickey,Braves,1245
1900,Ted Lewis,Beaneaters,1007589
1991,Mike Timlin,Blue Jays,1187
1991,Kevin Brown,Rangers,642
1880,Curry Foley,Red Caps,1004195
2008,Jeff Francis,Rockies,4684
1949,Johnny Vander Meer,Reds,1013350
1964,Earl Wilson,Red Sox,1014073
1945,Bill Bevens,Yankees,1000937
1997,Glendon Rusch,Royals,707
2008,Frank Francisco,Rangers,1933
2000,Gil Meche,Mariners,1089
1976,Jerry Augustine,Brewers,1000365
1929,Steve Swetonic,Pirates,1012785
1917,Fritz Coumbe,Indians,1002675
2000,Armando Benitez,Mets,865
1951,Willard Nixon,Red Sox,1009610
1962,Ted Bowsfield,Angels,1001273
1937,Guy Bush,Bees,1001752
1902,Charlie Shields,- - -,1011890
1985,Cecilio Guante,Pirates,1005113
1901,Jock Menefee,Orphans,1008763
1910,Harry McIntire,Cubs,1008571
1994,Steve Trachsel,Cubs,898
1998,Sterling Hitchcock,Padres,824
1999,Steve Parris,Reds,1316
2012,David Robertson,Yankees,8241
1948,Ken Heintzelman,Phillies,1005596
2011,Tyler Clippard,Nationals,5640
1919,Waite Hoyt,Red Sox,1006115
1943,Vern Kennedy,Indians,1006851
1986,Rick Sutcliffe,Cubs,1012734
1930,Ben Cantwell,Braves,1001921
1906,Carl Lundgren,Cubs,1007836
2015,Ervin Santana,Twins,3200
2003,Paul Wilson,Reds,1234
2004,Al Leiter,Mets,883
1981,Mike Flanagan,Orioles,1004133
1987,Greg Maddux,Cubs,104
1977,Jim Slaton,Brewers,1012054
1981,Doug Bird,- - -,1000976
1973,Tom Murphy,Cardinals,1009376
1962,Joe Nuxhall,- - -,1009665
1988,Walt Terrell,Tigers,1012924
2020,Max Fried,Braves,13743
2005,Chris Reitsma,Braves,348
1990,Tim Belcher,Dodgers,1000789
1971,Tom Kelley,Braves,1006782
1925,Elam Vangilder,Browns,1013355
1972,Juan Marichal,Giants,1008106
1911,Fred Blanding,Naps,1001045
1995,Wilson Alvarez,White Sox,1193
1931,Sloppy Thurston,Robins,1013053
1903,Bill Reidy,- - -,1010796
2018,Alex Cobb,Orioles,6562
2007,Roger Clemens,Yankees,815
2017,Aroldis Chapman,Yankees,10233
1908,Lefty Leifield,Pirates,1007494
1939,Milt Shoffner,- - -,1011920
1922,Dave Danforth,Browns,1002966
2019,Trevor Richards,- - -,19309
1913,Jack Quinn,Braves,1010605
1955,Erv Palica,Orioles,1009967
1995,Bill Swift,Rockies,1012788
1993,Luis Aquino,Marlins,1000285
1998,Steve Sparks,Angels,499
2011,Roberto Hernandez,Indians,3273
1957,Hal Jeffcoat,Redlegs,1006377
1920,Red Oldham,Tigers,1009762
1980,Aurelio Lopez,Tigers,1007753
2011,Derek Lowe,Braves,199
1917,Nick Cullop,Yankees,1002864
1995,Jason Isringhausen,Mets,1158
1963,Don Lee,Angels,1007453
1910,King Cole,Cubs,1002416
2009,Freddy Garcia,White Sox,1077
1901,Jerry Nops,Orioles,1009624
2000,Jose Mercedes,Orioles,396
2006,Chad Bradford,Mets,904
1950,Alex Kellner,Athletics,1006785
1974,Ed Figueroa,Angels,1004037
1997,Brett Tomko,Reds,1056
1942,Bob Muncrief,Browns,1009317
1890,Al Maul,Burghers,1008273
1975,Lerrin LaGrow,Tigers,1007255
1920,Hugh McQuillan,Braves,1008685
1966,Tony Cloninger,Braves,1002359
1918,Gene Packard,Cardinals,1009939
1945,Tex Shirley,Browns,1011914
1995,Chad Ogea,Indians,1009744
1913,Al Schulz,Yankees,1011623
2019,Emilio Pagan,Rays,14771
1960,Chuck Stobbs,Senators,1012548
1963,Bill Dailey,Twins,1002928
1933,Joe Heving,White Sox,1005758
2019,Jakob Junis,Royals,13619
1941,Larry French,- - -,1004338
2015,Kevin Gausman,Orioles,14107
1990,Steve Olin,Indians,1009768
1886,Ed Daily,Quakers,1002933
1909,Jack Warhop,Highlanders,1013628
1996,Todd Worrell,Dodgers,1014259
1898,Frank Kitson,Orioles,1006981
1962,Dick Stigman,Twins,1012534
1999,Dennis Springer,Marlins,672
1959,Roy Face,Pirates,1003891
1953,Jim Konstanty,Phillies,1007098
1917,Sherry Smith,Robins,1012205
2005,Kelvim Escobar,Angels,1298
1949,Al Benton,Indians,1000853
1918,George Smith,- - -,1012144
1899,Jack Taylor,Reds,1012878
2010,Darren Oliver,Rangers,206
2000,Matt Herges,Dodgers,780
2002,Rick Helling,Diamondbacks,58
1984,Dan Quisenberry,Royals,1010622
2013,Jason Grilli,Pirates,521
2019,Aaron Civale,Indians,19479
1928,Art Delaney,Braves,1003162
1892,Pat Luby,Colts,1007802
1983,Jerry Koosman,White Sox,1007103
1974,Joe Coleman,Tigers,1002428
1935,Joe Bowman,Phillies,1001269
1935,Bucky Walters,Phillies,1013583
1974,Ernie McAnally,Expos,1008325
1941,Howie Pollet,Cardinals,1010423
1985,Stew Cliburn,Angels,1002350
1933,Sam Jones,White Sox,1006589
1988,Freddie Toliver,Twins,1013102
1896,Chauncey Fisher,Reds,1004081
2006,Kyle Lohse,- - -,739
2005,Casey Fossum,Devil Rays,188
1890,Willie McGill,Infants,1008522
2013,Yovani Gallardo,Brewers,8173
1970,Grant Jackson,Phillies,1006298
1991,Tom Browning,Reds,1001566
1993,Larry Andersen,Phillies,1000236
2017,Brent Suter,Brewers,13942
1986,Eric King,Tigers,1006929
2001,Brian Tollberg,Padres,1055
1964,Dick Stigman,Twins,1012534
1991,Rheal Cormier,Cardinals,952
1989,Jay Howell,Dodgers,1006098
1931,Rip Collins,Browns,1002463
1951,Frank Hiller,Cubs,1005814
2015,Jeurys Familia,Mets,5114
2012,Derek Holland,Rangers,4141
1918,Babe Ruth,Red Sox,1011327
2020,Zach Eflin,Phillies,13774
1982,Sammy Stewart,Orioles,1012528
1972,Rollie Fingers,Athletics,1004051
1987,Don Robinson,- - -,1011061
1974,Ron Schueler,Phillies,1011622
1977,Glenn Abbott,Mariners,1000010
1924,Tim McNamara,Braves,1008661
1986,Jim Acker,- - -,1000030
1961,Rollie Sheldon,Yankees,1011855
1931,Flint Rhem,Cardinals,1010878
1935,Oral Hildebrand,Indians,1005804
2003,Rheal Cormier,Phillies,952
1982,Steve Trout,White Sox,1013197
1972,Sparky Lyle,Yankees,1007859
1910,Bill Burns,- - -,1001701
2005,Kirk Saarloos,Athletics,1516
2014,Doug Fister,Nationals,9425
1921,Rollie Naylor,Athletics,1009470
2004,Billy Wagner,Phillies,578
2008,Joey Devine,Athletics,9862
1907,Bob Rhoads,Naps,1010881
2016,Raisel Iglesias,Reds,17130
1976,Frank LaCorte,Braves,1007239
2013,A.J. Griffin,Athletics,11132
1998,Kerry Ligtenberg,Braves,100
2008,Edwin Jackson,Rays,1841
2007,Lee Gardner,Marlins,1448
1926,Hal Wiltse,Red Sox,1014115
1977,Tom Johnson,Twins,1006508
1989,Lee Smith,Red Sox,1012175
2014,Wily Peralta,Brewers,7738
2008,Chris Volstad,Marlins,9901
1983,Sammy Stewart,Orioles,1012528
1926,Ted Wingfield,Red Sox,1014130
1927,Johnny Miljus,Pirates,1008866
2001,Joey Hamilton,- - -,328
1966,Hank Fischer,- - -,1004068
1883,Ren Deagle,Red Stockings,1003099
1999,Rick Reed,Mets,750
2018,Sonny Gray,Yankees,12768
1906,Jimmy Dygert,Athletics,1003616
1982,Dan Quisenberry,Royals,1010622
1982,Vida Blue,Royals,1001094
1991,Ron Darling,- - -,1002989
1951,Bob Friend,Pirates,1004355
1977,Chris Knapp,White Sox,1007026
1993,Carl Willis,Twins,1013979
1982,Roger Erickson,- - -,1003812
2008,Kyle Davies,Royals,3642
1988,Melido Perez,White Sox,1010183
2008,Francisco Rodriguez,Angels,1642
1984,Dave Schmidt,Rangers,1011580
2000,Paul Shuey,Indians,406
2015,Chris Bassitt,Athletics,12304
1888,Phenomenal Smith,- - -,1012192
1953,Bob Keegan,White Sox,1006744
1952,Bob Feller,Indians,1003975
1911,Elmer Knetzer,Dodgers,1007034
1974,Doug Bird,Royals,1000976
2010,James McDonald,- - -,5523
1958,Stan Williams,Dodgers,1014039
1958,Bob Anderson,Cubs,1000219
2015,Justin Wilson,Yankees,4301
1989,Bob Walk,Pirates,1013507
1882,Bill Sweeney,Athletics,1012770
2001,Erik Hiljus,Athletics,919
1930,Jumbo Elliott,Robins,1003741
2006,Justin Duchscherer,Athletics,910
1940,Vern Kennedy,Browns,1006851
1902,Roscoe Miller,- - -,1008929
1951,Tom Morgan,Yankees,1009184
1985,Rick Honeycutt,Dodgers,1005992
1962,Billy Pierce,Giants,1010326
1951,Hal Newhouser,Tigers,1009535
2017,Jake McGee,Rockies,7550
2016,AJ Ramos,Marlins,8350
1984,Frank Williams,Giants,1013997
2000,Shane Reynolds,Astros,574
1883,John Fox,Orioles,1004280
1996,Dennis Cook,Rangers,8
1937,Fred Frankhouse,Dodgers,1004297
1987,John Franco,Reds,874
2005,Scott Eyre,Giants,1300
1909,Jack Coombs,Athletics,1002583
1982,Ed Vande Berg,Mariners,1013348
1923,Tom Zachary,Senators,1014405
2003,Paul Quantrill,Dodgers,669
1955,Hersh Freeman,- - -,1004319
1986,Doug Drabek,Yankees,1003473
1895,Al Orth,Phillies,1009857
1923,Leo Dickerman,Robins,1003275
2001,Omar Daal,Phillies,646
2001,Tom Gordon,Cubs,282
1956,Tom Acker,Redlegs,1000031
1907,Heinie Berger,Naps,1000870
1945,Joe Page,Yankees,1009951
2007,Brandon Lyon,Diamondbacks,1312
1895,Harry Staley,Browns,1012389
1896,Kid Carsey,Phillies,1002008
1968,Jack Fisher,White Sox,1004090
1919,George Smith,- - -,1012144
1889,Bert Cunningham,Orioles,1002876
2007,Tom Glavine,Mets,90
1973,Jim Merritt,Rangers,1008789
2019,Wander Suero,Nationals,15855
1977,Rick Waits,Indians,1013494
1913,Joe Benz,White Sox,1000860
1984,David Palmer,Expos,1009970
1992,Omar Olivares,Cardinals,1009771
2002,Scott Stewart,Expos,797
1945,Red Ruffing,Yankees,1011296
1984,Mark Thurmond,Padres,1013052
2000,Dave Veres,Cardinals,1188
1984,Jim Gott,Blue Jays,1004898
1933,Willis Hudlin,Indians,1006132
1935,Johnny Babich,Dodgers,1000396
1901,Ed Doheny,- - -,1003356
1970,Vida Blue,Athletics,1001094
1943,Joe Beggs,Reds,1000776
2006,Bob Howry,Cubs,237
2015,C.J. Wilson,Angels,3580
1985,Mark Davis,Giants,1003067
2019,Zach Eflin,Phillies,13774
1975,Dan Spillner,Padres,1012342
1889,John Sowders,Cowboys,1012296
1946,Red Munger,Cardinals,1009320
2013,Wade Davis,Royals,7441
2003,Gil Meche,Mariners,1089
1922,Benn Karr,Red Sox,1006708
1977,Don Hood,Indians,1005994
1954,Leo Kiely,Red Sox,1006895
2002,Luis Vizcaino,Brewers,714
2006,Luke Hudson,Royals,1542
1999,Carlton Loewer,Phillies,1713
1984,Chuck Porter,Brewers,1010448
1976,Paul Mitchell,Athletics,1009009
1929,Myles Thomas,- - -,1012988
1916,Lee Meadows,Cardinals,1008705
1956,Ike Delock,Red Sox,1003179
1974,Paul Lindblad,Athletics,1007614
1986,Scott Garrelts,Giants,1004546
1987,Jamie Moyer,Cubs,1091
1962,Jim Maloney,Reds,1008039
1957,Wally Burnette,Athletics,1001700
2008,Braden Looper,Cardinals,526
2006,Kiko Calero,Athletics,1676
2010,Francisco Rodriguez,Mets,1642
1924,Dennis Burns,Athletics,1001704
1940,Lee Grissom,- - -,1005073
1896,Al Orth,Phillies,1009857
1963,Al McBean,Pirates,1008337
1951,Cliff Chambers,- - -,1002120
1941,Al Javery,Braves,1006369
1977,Buddy Schultz,Cardinals,1011627
2008,Chris Young,Padres,3196
1924,Ken Holloway,Tigers,1005966
2014,Jake Peavy,- - -,1051
1940,Mel Harder,Indians,1005339
2002,Denny Neagle,Rockies,441
1977,John Hiller,Tigers,1005817
2002,Shawn Estes,- - -,873
1965,Dennis Bennett,Red Sox,1000838
2012,Francisco Liriano,- - -,3201
1995,Vaughn Eshelman,Red Sox,1003825
2020,Carlos Carrasco,Indians,6632
1903,Togie Pittinger,Beaneaters,1010376
1992,Mark Leiter,Tigers,1007501
1964,John Tsitouris,Reds,1013208
1968,Al McBean,Pirates,1008337
1998,Dave Veres,Rockies,1188
1987,Curt Young,Athletics,1014368
1996,Billy Taylor,Athletics,1012859
1913,Bob Harmon,Cardinals,1005371
2009,Kiko Calero,Marlins,1676
1969,Al Downing,Yankees,1003450
1995,Mike Morgan,- - -,67
1970,Ron Reed,Braves,1010773
1987,Charles Hudson,Yankees,1006134
2005,Rudy Seanez,Padres,1279
1931,Sam Jones,Senators,1006589
1985,Don Aase,Orioles,1000003
1983,Juan Berenguer,Tigers,1000865
1982,Ron Reed,Phillies,1010773
1953,Al Worthington,Giants,1014260
2017,Miguel Gonzalez,- - -,7024
1977,Adrian Devine,Rangers,1003243
1919,Gene Packard,Phillies,1009939
1982,Rich Gale,Giants,1004444
1914,George LeClair,Rebels,1007442
1976,Andy Hassler,- - -,1005480
1979,Ross Baumgarten,White Sox,1000689
1992,Norm Charlton,Reds,1002160
1979,David Palmer,Expos,1009970
1949,Jack Kramer,Red Sox,1007137
